TYPE,LICENSEE,PROGRAM NAME,AUTHORIZATION,"LICENSING 
DEPARTMENT",BEDS,COUNTY,FACILITY ADDRESS,CITY,ZIP CODE,CERTIFICATE NUMBER,STATE,LOCATION
STRTP (Short-Term Residential Therapeutic Program),4 Kids 2 Kids,4 Kids 2 Kids-Safe House (Strtp),Approved,CDSS,6,Santa Barbara,Unknown,Carpinteria,93013,MH/42/01/19,California,"Santa Barbara, California"
STRTP (Short-Term Residential Therapeutic Program),All Of God'S Children'S Group Home,All Of God'S Children Group Home,Approved,CDSS,8,Riverside,Unknown,Moreno Valley,92555,MH/33/04/22,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),All Of God'S Children'S Group Home,All Of God'S Children Group Home,Approved,CDSS,8,Riverside,Unknown,Moreno Valley,92555,MH/33/03/22,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Amali,Amali,Approved,CDSS,6,San Diego,Unknown,Spring Valley,91977,MH/37/01/24,California,"San Diego, California"
STRTP (Short-Term Residential Therapeutic Program),Amali,Amali,Approved,CDSS,6,San Diego,Unknown,Spring Valley,91977,MH/37/02/24,California,"San Diego, California"
STRTP (Short-Term Residential Therapeutic Program),Arby E & Josetti B Fields,Fields Comprehensive Youth Services Inc,Approved,CDSS,1,San Bernardino,Unknown,San Bernardino,92407,MH/36/02/25,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Aspiranet,Ars-Linwood,Approved,CDSS,6,Stanislaus,Unknown,Turlock,95380,MH/50/03/19,California,"Stanislaus, California"
STRTP (Short-Term Residential Therapeutic Program),Aspiranet,Ars-Berkeley,Approved,CDSS,6,Stanislaus,Unknown,Turlock,95380,MH/50/01/19,California,"Stanislaus, California"
STRTP (Short-Term Residential Therapeutic Program),Aspiranet,Ars-Campus,Approved,CDSS,16,Stanislaus,Unknown,Turlock,95380,MH/50/04/18,California,"Stanislaus, California"
STRTP (Short-Term Residential Therapeutic Program),Beloved Ones,Beloved Ones 12,Approved,CDSS,6,Riverside,Unknown,Murrieta,92562,MH/33/04/25,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Beloved Ones,Beloved Ones 11,Approved,CDSS,6,Riverside,Unknown,Lake Elsinore,92530,MH/33/03/25,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Beloved Ones,Beloved Ones 9,Approved,CDSS,6,Contra Costa,Unknown,Antioch,94531,MH/07/02/24,California,"Contra Costa, California"
STRTP (Short-Term Residential Therapeutic Program),Beloved Ones,Beloved Ones 8,Approved,CDSS,6,Contra Costa,Unknown,Antioch,94509,MH/07/01/24,California,"Contra Costa, California"
